sex|3|5|10|25|50|75|90|95|97
female|67.5|15.30978|15.70843|16.37197|17.6404|19.35149|21.50486|23.99232|25.83467|27.2201
female|68.5|15.44961|15.85316|16.52509|17.81035|19.54588|21.73294|24.26364|26.14113|27.55481
female|69.5|15.58975|15.99831|16.67878|17.98118|19.74151|21.96271|24.5371|26.45005|27.8922
female|70.5|15.73018|16.14385|16.83304|18.15288|19.93843|22.19425|24.81282|26.76154|28.23237
female|71.5|15.87089|16.28977|16.98787|18.32549|20.1367|22.42763|25.09089|27.07573|28.57547
female|72.5|16.01186|16.43608|17.14327|18.49904|20.33636|22.66294|25.37145|27.39274|28.92162
female|73.5|16.1531|16.58277|17.29926|18.67356|20.53748|22.90029|25.65461|27.71272|29.27096
female|74.5|16.2946|16.72986|17.45586|18.84908|20.74013|23.13976|25.94051|28.0358|29.62364
female|75.5|16.43638|16.87736|17.61309|19.02566|20.94438|23.38146|26.22926|28.36213|29.97981
female|76.5|16.57843|17.02528|17.77097|19.20334|21.1503|23.6255|26.52102|28.69185|30.33962
